PLAYER_NAME,PLAYER_ID,SIMILAR_1_NAME,SIMILAR_1_ID,SIMILAR_1_DISTANCE,SIMILAR_2_NAME,SIMILAR_2_ID,SIMILAR_2_DISTANCE,SIMILAR_3_NAME,SIMILAR_3_ID,SIMILAR_3_DISTANCE,SIMILAR_4_NAME,SIMILAR_4_ID,SIMILAR_4_DISTANCE,SIMILAR_5_NAME,SIMILAR_5_ID,SIMILAR_5_DISTANCE
Amir Coffey,1629599,Tim Hardaway Jr.,203501,9.912501817241921,Dillon Brooks,1628415,10.553847029921865,Gary Trent Jr.,1629018,10.885370384088505,Jabari Smith Jr.,1631095,11.067785782140541,Kentavious Caldwell-Pope,203484,11.210627044232789
Andre Drummond,203083,Jusuf Nurkić,203994,14.821924924592535,Day'Ron Sharpe,1630549,15.11746940256197,Clint Capela,203991,15.149774032339085,Onyeka Okongwu,1630168,16.357920475152056,Kevon Looney,1626172,16.700009916702726
Andre Jackson Jr.,1641748,Julian Phillips,1641763,11.002563817809481,Jeremiah Robinson-Earl,1630526,11.302740346608841,Dalen Terry,1631207,12.010896938939682,Ben Sheppard,1641767,12.07940854118923,Jake LaRavia,1631222,12.43183307594762
Andrew Nembhard,1629614,Brandin Podziemski,1641764,10.304935945728339,Josh Giddey,1630581,10.543201110909964,Scotty Pippen Jr.,1630590,10.814062230761692,Tre Jones,1630200,11.50472717434811,Russell Westbrook,201566,12.294242387203226
Andrew Wiggins,203952,Deni Avdija,1630166,9.526261640480197,Miles Bridges,1628970,9.766785476424001,Jonathan Kuminga,1630228,9.943069884244606,RJ Barrett,1629628,11.538956783288228,Jalen Williams,1631114,12.884714552130358
Anfernee Simons,1629014,Keyonte George,1641718,8.797260041139927,Dennis Schröder,203471,10.4527827829458,Scoot Henderson,1630703,11.114744175042253,Cole Anthony,1630175,12.076742395630149,Jalen Suggs,1630591,12.089733812045807
Anthony Black,1641710,Stephon Castle,1642264,10.181218239324021,Cole Anthony,1630175,10.211528717140126,Jalen Suggs,1630591,10.446597362004265,Scoot Henderson,1630703,10.827216693627827,Dalano Banton,1630625,11.536170104357542
Anthony Davis,203076,Alperen Sengun,1630578,11.659886518170271,Karl-Anthony Towns,1626157,11.900146340514594,Evan Mobley,1630596,13.114307952261903,Bam Adebayo,1628389,13.680198707678938,Domantas Sabonis,1627734,14.67249745621736
Anthony Edwards,1630162,Donovan Mitchell,1628378,8.687480838774787,Kyrie Irving,202681,9.159892042959502,Jalen Green,1630224,9.366852727294802,De'Aaron Fox,1628368,10.03616427020963,Tyler Herro,1629639,10.567392207519216
Ausar Thompson,1641709,Tari Eason,1631106,11.065510678424952,Dyson Daniels,1630700,13.132266611919475,Josh Okogie,1629006,14.07609222377002,Trevelin Queen,1630243,15.652847468413034,Kris Dunn,1627739,16.229197839297452
